         x         y         z
     1.902    -1.530     0.038
     0.951     0.953     0.471
    -0.310    -0.554    -0.260
    -1.507    -1.359    -0.209
     0.647    -0.109     0.599
    -1.189     1.230    -0.310
    -1.909    -1.006    -0.505
    -1.589    -1.202    -0.361
    -1.766     1.474    -0.095
    -0.268     1.050    -0.132
     1.996     0.617     0.743
    -1.209    -1.854     0.261
    -0.570     0.508    -0.471
    -0.295     0.742    -0.214
     0.680    -0.559     0.533
    -1.796     1.511    -0.058
    -1.668    -0.746    -0.731
     1.157     1.671    -0.091
    -1.745    -1.817     0.240
     0.295     1.261     0.089
     0.961     1.626    -0.045
     0.240     1.229     0.080
    -0.244    -1.960     0.092
     1.126    -1.075     0.429
     1.950     0.357     0.870
     0.803     1.781    -0.150
     1.894     0.577     0.795
    -0.860     1.021    -0.396
     1.746     1.465     0.104
     1.529    -0.486     0.884
    -0.272     1.487    -0.023
     0.146    -0.523     0.126
     1.789    -0.017     0.976
     0.459     1.748    -0.078
     0.281     1.952    -0.103
    -0.270    -1.293    -0.073
     0.807     0.911     0.443
    -0.247    -1.180    -0.093
     1.937     0.038     0.933
     1.000     1.673    -0.086
     1.607    -1.155     0.404
    -0.425    -0.374    -0.384
    -1.606    -1.707     0.135
     1.247    -1.308     0.246
    -0.735     0.626    -0.544
     0.397    -1.177     0.149
     0.994     0.121     0.832
     1.713     0.287     0.949
    -0.949    -1.878     0.246
     1.569    -0.199     0.980
     0.668     0.077     0.617
    -1.636    -1.863     0.287
    -0.423    -0.916    -0.250
    -0.362     1.350    -0.077
     0.023     1.496     0.002
    -0.548    -1.570    -0.000
    -1.303     1.167    -0.379
    -1.300     1.185    -0.363
    -1.938    -0.465    -0.834
     0.472    -1.401     0.077
    -1.811    -1.103    -0.438
     0.377     1.738    -0.061
     1.691    -1.868    -0.290
    -1.050    -1.614     0.037
     1.342     1.004     0.523
    -1.999    -0.380    -0.845
    -0.115    -1.878     0.035
     1.741    -0.374     0.917
     0.865     0.780     0.541
    -1.900     1.690     0.113
    -1.621     0.276    -0.961
     1.523     0.287     0.958
     1.359    -0.633     0.788
     1.856    -0.493     0.845
     0.960    -1.011     0.435
    -1.021    -0.648    -0.680
    -0.155    -1.747     0.027
    -0.964    -1.395    -0.144
     1.757     1.150     0.402
    -1.663    -1.252    -0.312
    -0.109    -1.702     0.014
     1.067    -0.279     0.842
    -1.779     0.838    -0.654
    -1.653     1.093    -0.458
    -0.973     1.511    -0.049
    -0.827     0.708    -0.559
    -1.094    -0.734    -0.660
     1.580     1.232     0.333
     0.812    -1.689    -0.086
    -0.848    -0.709    -0.569
     0.233    -0.822     0.158
    -1.694     0.414    -0.909
     0.638    -1.769    -0.117
    -1.418    -0.727    -0.739
    -1.375     0.670    -0.769
     0.467     0.390     0.416
    -1.681     0.247    -0.964
    -1.181    -0.659    -0.731
     0.194     1.901    -0.063
    -1.366     1.265    -0.295
     0.230    -0.510     0.199
     0.736     0.737     0.497
     0.651    -0.032     0.606
    -1.542    -1.804     0.231
    -1.091     1.182    -0.336
    -0.804     0.234    -0.700
    -1.124    -1.632     0.055
     1.688    -1.221     0.340
    -1.375    -1.385    -0.182
    -0.452    -1.393    -0.077
    -0.537    -1.749     0.091
     0.366     1.930    -0.126
    -1.732     1.805     0.229
    -1.441     0.001    -0.992
     0.067     1.406     0.011
     0.833    -1.071     0.355
     0.560     1.451     0.063
    -0.541    -0.695    -0.396
    -1.942    -0.506    -0.815
    -0.195    -1.026    -0.101
     1.907    -1.847    -0.258
    -1.722    -0.643    -0.791
     0.436     1.875    -0.126
     0.086    -0.115     0.085
     1.795    -1.839    -0.258
    -1.494    -0.526    -0.862
    -1.129     0.601    -0.746
    -0.370     0.450    -0.325
    -0.512     1.398    -0.084
    -1.975     0.285    -0.882
    -1.675    -1.058    -0.488
     1.581     0.961     0.573
    -1.758    -0.955    -0.568
     1.249     0.716     0.715
    -0.492    -0.037    -0.472
    -0.155    -1.254    -0.048
     1.334    -0.797     0.680
    -1.964     1.665     0.087
    -1.884     1.744     0.164
     0.346     1.985    -0.137
    -0.782    -1.598     0.019
     0.736     0.291     0.643
    -0.487     0.588    -0.390
     1.328     1.241     0.314
     1.736     0.929     0.590
    -0.666     0.477    -0.549
     1.554    -0.859     0.653
     0.984    -0.206     0.815
    -1.066     1.789     0.189
     0.856    -0.412     0.692
     1.541     1.828    -0.254
    -0.933    -1.694     0.099
    -1.364     1.086    -0.456
    -1.883    -1.499    -0.068
     0.671     1.902    -0.202
    -0.660     1.587     0.010
     0.614    -0.636     0.463
    -1.093    -0.299    -0.849
     0.548    -0.973     0.293
    -1.480    -0.298    -0.952
    -0.990     0.894    -0.524
    -0.064     1.631     0.004
     0.462    -1.133     0.189
    -0.418     1.560    -0.004
    -1.953    -0.046    -0.927
     0.780     0.967     0.400
     1.172    -1.695    -0.114
    -1.541    -0.204    -0.979
    -0.470    -0.410    -0.415
    -0.792    -0.927    -0.427
     1.649    -1.846    -0.271
    -1.125    -1.645     0.066
     1.109    -1.005     0.480
     1.153     0.766     0.658
     1.288    -1.841    -0.256
    -1.813    -1.588     0.017
    -1.794    -1.926     0.339
     1.512     1.213     0.349
    -0.170     1.708     0.023
     1.847     0.124     0.955
     0.022     0.532     0.019
    -0.762    -1.587     0.011
    -1.391    -0.773    -0.704
    -1.690    -1.210    -0.350
     0.645     0.624     0.488
     1.808    -0.542     0.833
    -1.336     1.203    -0.350
    -0.046    -0.346    -0.043
    -1.999     1.630     0.054
     1.415     0.613     0.808
     1.941    -0.146     0.922
     1.578    -1.931    -0.352
    -1.421     0.262    -0.955
     1.222     0.172     0.926
    -1.583    -1.828     0.254
     1.781    -1.837    -0.257
    -1.941    -0.871    -0.601
    -1.043     0.306    -0.824
    -0.433     0.339    -0.396
     0.428     1.866    -0.121
    -0.383    -0.823    -0.254
    -0.216     1.223    -0.073
     1.947     1.620    -0.046
     0.524    -1.972    -0.195
    -0.713    -0.424    -0.596
    -0.889    -0.349    -0.730
    -0.077     0.358    -0.072
     0.015     1.669    -0.001
    -1.366     1.831     0.252
     0.694    -1.443     0.081
    -1.067    -1.336    -0.203
     1.363    -0.437     0.887
     1.423     0.361     0.925
     1.437    -0.658     0.784
    -1.803     1.180    -0.370
     1.064    -0.373     0.814
    -0.758     1.761     0.130
     1.653     1.751    -0.179
     0.127     1.953    -0.047
     1.878    -1.177     0.366
     0.339     0.535     0.286
     1.954     1.438     0.123
    -1.462    -1.092    -0.458
    -0.815    -1.141    -0.303
    -0.783    -1.469    -0.072
    -1.170     1.862     0.264
     0.871     0.619     0.623
    -0.374    -1.908     0.121
     0.086    -0.017     0.086
     0.123    -1.467     0.013
    -0.602    -1.998     0.235
     0.371     0.829     0.245
     1.083     1.364     0.181
    -0.925    -1.576     0.004
    -0.436    -0.234    -0.411
     1.319    -1.605    -0.033
     0.195    -0.684     0.150
     0.970    -1.189     0.307
    -0.270     0.595    -0.221
    -0.563     0.934    -0.317
    -1.790    -1.733     0.157
     1.181    -1.722    -0.140
    -1.706     1.800     0.225
     1.576     1.839    -0.265
    -0.900    -1.507    -0.050
     1.726     1.211     0.348
    -1.982    -1.700     0.118
     1.514     1.162     0.397
    -1.220     0.672    -0.735
     1.269    -0.949     0.556
    -1.188    -1.488    -0.076
    -1.163     1.519    -0.047
    -0.498     0.027    -0.478
    -1.539    -1.586     0.015
    -1.705     0.637    -0.797
    -0.260     1.164    -0.102
     1.487    -1.410     0.160
    -1.943    -0.361    -0.871
    -1.957    -1.973     0.363
     1.079    -1.266     0.264
     0.204     1.948    -0.074
    -0.474    -0.366    -0.426
     0.584    -0.582     0.460
    -0.297    -0.866    -0.190
     1.463     0.498     0.874
    -1.393    -1.590     0.019
    -1.151     0.530    -0.788
     1.704    -0.851     0.653
     0.907     1.121     0.342
     1.720    -1.126     0.425
     0.483     0.613     0.380
    -0.401    -0.629    -0.315
    -0.818    -0.695    -0.560
    -0.210    -0.441    -0.189
    -1.567    -0.069    -0.998
    -0.738    -1.965     0.259
    -0.418    -0.889    -0.256
    -1.931     1.524    -0.044
     0.904     0.210     0.768
    -1.300     0.172    -0.949
     0.910     0.217     0.771
    -0.502    -1.584     0.006
     1.412     1.878    -0.299
     1.107     0.730     0.667
    -0.790     1.307    -0.185
     1.421     1.247     0.315
    -1.354     1.218    -0.337
     0.694     1.157     0.257
    -1.007    -0.243    -0.820
     1.234    -0.794     0.662
     0.999    -0.217     0.821
    -0.734    -0.308    -0.638
     1.808     1.850    -0.268
     0.058     1.075     0.028
     1.881     0.311     0.907
    -0.917    -1.092    -0.366
     0.367    -0.010     0.359
     1.283     1.547     0.023
     1.453     0.273     0.956
    -0.754    -0.229    -0.666
    -1.509    -1.456    -0.115
     1.448     0.871     0.639
     0.203    -1.776    -0.041
    -1.167     0.968    -0.522
     1.857    -0.897     0.599
     1.870    -1.659    -0.084
     0.262     0.177     0.255
    -0.648     1.729     0.095
    -1.165     1.562    -0.008
     1.418    -0.301     0.944
    -0.994    -0.401    -0.772
     1.681     1.771    -0.197
     1.426     1.189     0.369
     1.960     0.701     0.707
     1.400    -1.017     0.518
     1.892    -1.928    -0.332
    -0.376     1.357    -0.078
    -1.854    -1.845     0.260
    -0.201    -0.386    -0.185
     1.248     1.844    -0.256
     1.567    -0.935     0.593
     1.804     0.485     0.861
     1.905    -1.671    -0.095
    -1.429     1.540    -0.031
     0.566    -0.369     0.500
     0.215    -0.636     0.172
     1.618     1.459     0.112
     0.725    -0.049     0.662
    -1.121    -1.370    -0.179
    -1.696    -0.957    -0.572
     1.366    -1.977    -0.387
    -1.544     1.288    -0.279
    -0.947    -0.732    -0.604
     1.287    -0.150     0.949
    -1.768    -1.593     0.022
     1.824    -1.257     0.299
     1.636    -1.340     0.229
     1.697    -1.361     0.206
    -1.201     1.876     0.280
     0.611     1.126     0.247
    -1.724     0.170    -0.974
    -0.969    -0.510    -0.719
    -1.469    -1.588     0.017
     0.452     0.941     0.257
    -0.129     1.690     0.015
    -0.392    -1.443    -0.049
    -0.361    -1.237    -0.116
     0.225     0.644     0.179
    -1.363    -1.949     0.362
     0.364    -0.615     0.291
     1.642     0.229     0.971
    -1.388    -1.368    -0.198
    -1.670    -0.306    -0.949
     1.735    -1.633    -0.061
     1.472    -1.484     0.086
    -0.095    -0.734    -0.071
    -1.228    -1.110    -0.419
     1.948     0.479     0.825
    -1.537    -1.414    -0.156
    -1.077    -0.898    -0.549
    -0.301     0.303    -0.283
    -0.386     0.169    -0.371
    -0.790    -0.182    -0.698
     0.342     1.571    -0.000
    -1.437     1.829     0.253
     1.630     1.153     0.405
    -0.659     0.477    -0.544
     1.680    -0.905     0.614
     1.805    -0.737     0.721
    -0.300    -0.855    -0.194
     1.581     1.189     0.373
     0.809     1.979    -0.287
     0.488     1.662    -0.043
     0.857    -1.493     0.059
    -1.092    -1.997     0.367
    -1.702    -1.434    -0.135
    -0.232    -0.092    -0.229
    -0.656    -0.301    -0.583
     0.197    -0.466     0.175
     1.035     0.278     0.827
    -0.371    -1.262    -0.110
    -0.609     0.424    -0.522
     1.797    -0.967     0.553
     0.693     0.601     0.527
     1.930     1.526     0.042
    -0.743     1.251    -0.213
     1.046    -1.487     0.072
    -0.335    -0.249    -0.318
     0.205    -1.859    -0.058
     1.262     0.234     0.927
    -0.387     1.577     0.002
     0.871     0.553     0.651
     1.430    -0.363     0.926
    -1.902     0.500    -0.830
     1.196     1.422     0.138
    -1.184     0.977    -0.518
     1.479    -1.247     0.317
     0.926    -1.628    -0.045
     1.496     1.627    -0.056
     1.375     0.955     0.566
    -0.923     1.327    -0.192
    -1.902    -1.646     0.071
    -1.581    -0.464    -0.894
    -0.388    -0.085    -0.377
     1.023    -1.879    -0.259
    -0.497     0.285    -0.458
    -1.233    -1.525    -0.043
    -0.775    -1.804     0.162
     1.458     1.921    -0.341
    -1.109    -0.694    -0.689
    -0.196    -1.051    -0.097
    -0.505    -1.517    -0.026
     0.084     0.886     0.053
    -0.904    -0.817    -0.538
     0.664     1.102     0.278
     1.328     1.818    -0.238
     1.894    -0.495     0.834
    -0.424    -1.097    -0.188
     0.249    -1.540     0.008
     1.317     0.332     0.915
     1.749    -0.070     0.982
    -1.067     1.117    -0.384
    -0.877    -0.522    -0.667
     0.286    -1.425     0.041
    -1.784    -1.625     0.053
     1.899    -0.686     0.732
     0.970    -0.506     0.722
     0.705    -0.477     0.576
    -1.471    -0.421    -0.908
    -1.422    -1.039    -0.502
     0.575     0.372     0.507
    -0.803    -1.977     0.284
     0.499     1.927    -0.167
     1.708    -0.171     0.976
     0.601    -1.253     0.176
    -1.029    -0.930    -0.512
     0.366     1.595    -0.009
    -1.138    -1.789     0.197
    -1.257     0.014    -0.951
    -0.964     1.486    -0.069
    -0.815    -0.455    -0.654
     0.602     0.999     0.307
    -0.116     0.509    -0.101
    -0.257     0.479    -0.226
    -0.075     0.011    -0.075
    -0.139    -0.943    -0.081
    -1.877    -0.186    -0.937
     1.299    -1.290     0.267
    -1.874    -0.755    -0.695
    -0.028     1.693     0.003
    -1.255    -1.734     0.154
     0.139     1.080     0.065
     1.052     0.718     0.654
    -1.779     1.014    -0.517
    -0.672    -1.975     0.245
     0.391     1.026     0.197
     1.597     1.476     0.095
    -1.802    -1.080    -0.459
    -0.070    -1.129    -0.030
    -1.830    -0.654    -0.767
    -0.772    -0.620    -0.568
     0.667     1.677    -0.066
     1.896     1.933    -0.336
    -1.907    -1.887     0.293
     1.761     0.517     0.854
     1.325     1.317     0.244
     1.276     0.377     0.890
     0.128     0.486     0.113
     1.453     0.762     0.718
     1.359     1.719    -0.144
     1.402    -1.820    -0.243
    -1.195    -1.738     0.155
    -0.650    -0.950    -0.352
     1.432    -1.041     0.500
    -1.216     0.832    -0.631
     0.098    -0.035     0.098
    -1.354     1.323    -0.239
     1.372     1.232     0.326
     1.249    -0.223     0.925
    -0.687     1.490    -0.051
     1.951     1.661    -0.083
    -0.249     0.161    -0.244
     1.688    -1.348     0.219
     0.165    -1.859    -0.047
    -0.089    -0.579    -0.075
     0.737     0.067     0.671
     0.097    -1.231     0.032
     1.260     0.367     0.889
     1.731     0.036     0.987
    -1.514    -0.485    -0.883
     0.779    -0.784     0.497
    -1.719    -0.065    -0.987
    -1.044     0.462    -0.774
     0.534    -0.707     0.387
     1.739    -1.770    -0.195
    -1.430     1.164    -0.391
     0.636     0.692     0.458
    -1.473     1.791     0.218
    -0.266     1.161    -0.105
     0.991     1.783    -0.176
    -1.991     1.574     0.003
    -0.298     1.629     0.017
    -1.524    -0.903    -0.619
    -1.332    -0.291    -0.931
     1.445    -0.225     0.967
    -1.731     0.314    -0.939
     0.302     0.808     0.206
    -1.898    -1.470    -0.095
    -1.189     1.687     0.108
     0.998    -1.217     0.291
    -0.916    -0.658    -0.628
    -0.817     0.011    -0.729
    -0.495    -1.063    -0.231
    -0.047    -0.156    -0.046
     1.778    -0.930     0.585
     1.293    -1.319     0.239
     1.262     1.283     0.270
    -1.976     0.470    -0.819
     0.780    -0.267     0.679
     0.811    -1.862    -0.208
    -1.740    -1.724     0.150
    -1.209     0.070    -0.933
     0.128    -0.020     0.127
     0.458    -1.513     0.026
    -0.852     1.073    -0.359
    -0.725     1.338    -0.153
    -0.322    -1.030    -0.163
    -1.601     0.039    -0.999
    -1.017    -1.751     0.153
    -0.604    -1.326    -0.137
     0.218     1.462     0.023
    -1.919     1.849     0.259
    -0.204    -1.147    -0.083
    -0.468     0.524    -0.390
    -1.713    -1.858     0.281
    -1.922     1.269    -0.279
    -1.432    -1.638     0.066
     0.791    -0.095     0.708
    -0.847     1.470    -0.075
    -0.777     0.866    -0.454
     0.546    -0.839     0.347
     0.251     0.297     0.237
    -0.745     1.556    -0.010
     1.441     0.676     0.773
    -0.074    -0.171    -0.073
    -1.884    -1.802     0.218
    -0.183     1.662     0.016
     0.363     0.531     0.307
     0.639     1.446     0.074
    -1.744    -1.979     0.391
    -1.683    -0.632    -0.802
    -0.684    -0.721    -0.475
    -0.488    -1.004    -0.252
     0.249     0.346     0.232
     0.861    -1.233     0.252
    -0.148    -0.378    -0.137
     0.479    -0.805     0.319
    -1.116     0.878    -0.574
    -0.611     1.402    -0.096
     1.263     0.102     0.948
    -0.881     1.904     0.253
     1.998    -1.175     0.351
     1.349    -0.276     0.939
    -0.105    -0.033    -0.105
     1.354    -0.254     0.945
     0.070    -1.151     0.029
    -0.707     1.947     0.239
    -0.234    -1.073    -0.111
    -0.402    -0.575    -0.328
    -0.800    -1.560    -0.008
    -1.649     1.430    -0.140
    -1.077     0.938    -0.521
     0.553    -0.166     0.518
    -0.143     0.353    -0.134
     0.092    -1.721    -0.014
     1.425     1.396     0.172
    -0.376    -0.182    -0.361
     0.999    -0.943     0.494
     0.811     0.442     0.655
     1.427    -0.314     0.941
     1.533     0.749     0.732
     0.834    -1.327     0.179
     0.549     0.006     0.522
     1.806     1.561     0.010
     1.804     0.387     0.901
    -1.816    -1.349    -0.214
    -1.769     1.308    -0.255
    -0.787    -1.458    -0.080
    -1.079     1.057    -0.433
     0.244     0.535     0.208
     1.847     0.335     0.909
    -0.722    -0.039    -0.660
     1.711    -1.140     0.413
     1.254     1.966    -0.366
    -1.501     1.270    -0.295
     0.421    -0.917     0.248
     0.945    -0.128     0.804
    -0.283    -0.129    -0.276
    -0.667     1.763     0.118
    -1.008    -1.648     0.065
    -1.240     0.665    -0.744
     0.397     0.760     0.280
    -0.861     0.635    -0.611
    -0.301     1.386    -0.054
    -0.919    -0.953    -0.461
     1.474     1.862    -0.286
     1.572     1.966    -0.385
    -0.973     1.155    -0.334
    -0.729    -1.467    -0.069
    -1.581     0.178    -0.984
     0.925    -1.857    -0.225
    -1.727    -1.408    -0.161
     0.098    -0.431     0.089
     1.190     0.166     0.916
    -0.177    -1.940     0.064
     0.157     0.179     0.154
     0.611     1.713    -0.081
     1.532     0.104     0.994
    -1.101    -1.548    -0.020
    -1.889     1.365    -0.194
    -1.728     1.176    -0.380
     0.692    -1.966    -0.246
     1.624     0.912     0.612
     0.739    -1.261     0.205
    -1.659    -0.128    -0.988
     1.657    -0.949     0.580
    -1.030    -1.667     0.082
    -0.675    -0.193    -0.613
     0.401    -1.214     0.136
     1.508    -0.906     0.616
    -0.735    -0.695    -0.515
    -1.709    -1.128    -0.424
     1.053     0.246     0.842
     1.232    -1.507     0.060
    -0.160     1.711     0.022
     0.461    -0.905     0.274
     0.145     0.937     0.085
    -0.403     0.981    -0.218
    -1.964     0.240    -0.897
    -0.204     1.682     0.023
     1.798     0.584     0.813
    -0.415    -1.704     0.053
    -1.946     1.732     0.149
     0.985    -1.930    -0.293
     1.317     1.081     0.455
     1.441    -0.932     0.591
     1.761     1.906    -0.323
    -1.729     1.597     0.026
    -0.699     0.816    -0.441
    -1.356    -1.199    -0.355
     1.099    -0.128     0.883
     0.487     1.412     0.074
     0.728    -1.283     0.189
    -1.504     1.137    -0.420
     1.128     1.919    -0.309
     0.648    -0.836     0.405
    -1.677     1.143    -0.413
    -0.935     0.170    -0.793
     1.011     1.601    -0.026
    -1.370     1.937     0.351
     1.652    -1.148     0.409
    -1.668     1.508    -0.062
     0.583    -0.796     0.385
     1.909    -1.749    -0.168
     0.174    -0.404     0.159
    -0.175    -1.348    -0.038
     0.090     0.868     0.058
     1.606    -0.951     0.580
     1.183     0.540     0.794
     0.110     1.471     0.011
    -1.294     1.000    -0.520
     1.763     1.548     0.023
    -0.484    -1.629     0.027
    -1.900     1.904     0.309
    -1.295    -0.845    -0.639
    -1.215     0.732    -0.697
     0.729    -0.694     0.512
     1.082    -1.201     0.319
    -1.027    -1.083    -0.401
     1.617     1.083     0.468
    -0.642    -1.373    -0.118
    -1.472     0.391    -0.920
     0.136    -0.059     0.135
     0.445     0.032     0.430
     0.006    -0.705     0.004
     0.786     0.377     0.658
    -0.055    -1.057    -0.027
    -1.786    -0.775    -0.698
    -0.355    -0.044    -0.347
    -1.409     1.067    -0.477
    -1.758     0.277    -0.945
     0.108    -1.418     0.016
     0.004    -0.811     0.003
    -0.923    -1.079    -0.376
     0.992    -0.992     0.458
     0.306    -1.366     0.061
    -0.279    -1.103    -0.124
     1.398    -1.692    -0.119
    -1.250    -1.260    -0.291
    -1.715     1.566    -0.005
     1.249    -1.561     0.009
    -0.929     0.285    -0.769
     1.887    -1.079     0.449
     1.244    -1.702    -0.124
     0.285    -1.559     0.003
    -0.265    -0.754    -0.191
     1.827    -1.775    -0.196
    -0.123     0.026    -0.122
     0.656     1.230     0.204
    -1.855    -0.234    -0.934
     1.548    -1.290     0.277
    -0.111    -1.512    -0.007
    -1.761    -0.297    -0.939
    -1.917     0.905    -0.581
     0.196     1.634    -0.012
     1.218    -1.822    -0.233
    -1.847    -0.523    -0.833
     1.797    -0.890     0.613
     0.240    -0.697     0.182
    -1.774     0.001    -0.979
     1.428    -1.851    -0.273
    -1.753     0.089    -0.980
     1.552    -1.848    -0.274
     1.563    -1.367     0.202
     0.746    -1.963    -0.259
    -0.742    -1.149    -0.276
    -1.154     0.252    -0.886
     0.656    -0.676     0.476
    -1.776     0.885    -0.620
    -1.466    -0.773    -0.712
    -1.403     1.252    -0.309
    -0.201    -1.717     0.029
     1.998    -0.440     0.823
    -0.206     0.610    -0.168
    -0.527     0.217    -0.491
    -1.744    -1.397    -0.171
    -1.982     1.228    -0.308
     1.777    -1.002     0.527
     1.835    -0.684     0.748
    -0.085     1.090    -0.039
     0.424     0.421     0.375
    -0.468    -1.202    -0.163
    -0.133     1.498    -0.010
    -1.494     0.141    -0.987
     1.871    -1.294     0.261
     1.095     0.348     0.836
     0.559    -1.037     0.270
     1.282     1.319     0.239
     1.818     1.607    -0.035
     1.673    -0.337     0.939
     1.213     0.521     0.813
    -0.883    -0.093    -0.769
    -0.381    -1.935     0.132
     0.784    -1.974    -0.277
    -1.967    -1.121    -0.401
    -0.519    -1.196    -0.181
     1.549     0.895     0.626
    -0.282    -1.421    -0.041
    -0.843    -0.385    -0.692
     0.687    -1.727    -0.099
     0.947    -1.213     0.284
